club_id,club_name,club_description,club_location,club_membership_fee,club_membership_length,club_membership_count,team_id 
2044,The Knicks Fan Club,support cheer fan loyalty basketball player lose loyalty game team game lose support passion player club game loyalty lose loyalty,New York,95.66,Monthly,597,144
2045,The Bucks Fan Club,fan community love community passion loyalty fun cheer love community basketball team cheer fan club love passion win team support,Milwaukee,75.27,Quarterly,39,269
2046,The Rockets Fan Club,game support win passion love team cheer fun club cheer loyalty player team player basketball team game game player win,Houston,30.07,Quarterly,998,382
2047,The Spurs Fan Club,loyalty lose player support cheer win player fan player player support loyalty community team cheer community fan club cheer player,San Antonio,67.21,Monthly,200,171
2048,The Nuggets Fan Club,player passion game love team lose player love player win lose basketball community fun fun basketball passion basketball support fun,Denver,39.3,Quarterly,881,8
2049,The Mavericks Fan Club,win club team love loyalty player team cheer loyalty passion lose game team player lose community cheer game lose player,Dallas,17.45,Quarterly,339,313
2050,The Warriors Fan Club,fan passion club team loyalty support loyalty support lose support passion basketball loyalty loyalty game player player club passion basketball,San Francisco,80.6,Monthly,653,273
2051,The Hawks Fan Club,support fan fun passion basketball fun community community basketball community game passion passion team team fan support loyalty cheer team,Atlanta,57.25,Yearly,447,2
2052,The Nuggets Fan Club,cheer cheer team loyalty fun lose loyalty game cheer game win basketball support game win club fun passion game love,Denver,71.3,Quarterly,367,131
2053,The Hornets Fan Club,game basketball game team lose loyalty passion cheer community fan club win passion player basketball club basketball lose club lose,Charlotte,73.07,Monthly,75,388
2054,The Bulls Fan Club,community team lose community player fan win community loyalty basketball fan player player win team passion game lose basketball basketball,Chicago,79.85,Monthly,839,82
2055,The Nets Fan Club,love community fun basketball community fan fan team club club community passion support fun player win team team loyalty lose,Brooklyn,96.97,Monthly,918,25
2056,The Heat Fan Club,win fan basketball cheer club loyalty team player cheer team fun player community team cheer club lose loyalty fan passion,Miami,50.02,Monthly,250,192
2057,The Clippers Fan Club,love passion passion team support basketball basketball basketball fan support support love passion lose basketball fan loyalty loyalty player passion,Los Angeles,81.9,Yearly,56,173
2058,The Bucks Fan Club,fan support club win loyalty love loyalty cheer team community loyalty love loyalty game passion passion fun fan club team,Milwaukee,65.62,Quarterly,737,228
2059,The Raptors Fan Club,community cheer loyalty lose loyalty support lose win lose passion passion game support team fun support passion team fun team,Toronto,97.71,Yearly,409,278
2060,The Lakers Fan Club,basketball club game basketball passion love player cheer club cheer club team club loyalty lose win passion cheer fun win,Los Angeles,73.23,Monthly,894,270
2061,The Hawks Fan Club,community game player basketball player win basketball support club fun love game passion lose win win loyalty passion community player,Atlanta,39.57,Yearly,701,226
2062,The Bucks Fan Club,support game team player win fun club passion win club fun lose fun basketball fan basketball loyalty love basketball team,Milwaukee,88.8,Yearly,201,133
2063,The Spurs Fan Club,win passion win loyalty love community team fun love cheer community support basketball win win team love fun fan loyalty,San Antonio,21.95,Monthly,434,383
2064,The Bulls Fan Club,fun team player club passion fan lose fan love team community loyalty win loyalty cheer player fan support fun game,Chicago,10.98,Monthly,851,51
2065,The Suns Fan Club,basketball love team player basketball player team passion loyalty passion basketball cheer cheer win lose win fan team game win,Phoenix,51.92,Yearly,865,174
2066,The Mavericks Fan Club,fan community fan community community passion club love win support win basketball passion club cheer passion fun loyalty passion cheer,Dallas,47.14,Quarterly,800,122
2067,The Warriors Fan Club,basketball team player passion club loyalty fun love club community win passion game cheer loyalty team player support team player,San Francisco,26.32,Quarterly,356,193
2068,The Mavericks Fan Club,win fan support community support lose game fun fan team game fan support support lose team loyalty love club lose,Dallas,90.38,Yearly,706,11
2069,The 76ers Fan Club,basketball fan loyalty club community love passion fun community passion basketball passion player support cheer community game player basketball passion,Philadelphia,76.7,Monthly,48,224
2070,The Lakers Fan Club,community basketball support fun fan support community player fan basketball club cheer win fun loyalty community passion fan player fan,Los Angeles,44.15,Monthly,680,337
2071,The Wizards Fan Club,club fan lose lose loyalty community fan loyalty loyalty love love passion fan fun game community basketball fun player community,Washington D.C.,96.68,Monthly,77,265
2072,The Jazz Fan Club,passion fun support fun lose player club community player win loyalty fan cheer win club lose club team cheer support,Salt Lake City,19.16,Yearly,6,107
2073,The Hornets Fan Club,cheer basketball game lose love fan basketball player fun win support fan player win love player team player passion team,Charlotte,56.97,Monthly,964,250
2074,The Rockets Fan Club,passion love fun fun support player player support game cheer fan support club player community community fun basketball game basketball,Houston,66.98,Quarterly,297,349
2075,The Suns Fan Club,win community basketball lose game win love basketball fun love support lose cheer fun cheer love club loyalty cheer team,Phoenix,32.95,Quarterly,752,63
2076,The Bucks Fan Club,passion love basketball game win game basketball club lose player fun game win basketball love fan win basketball support win,Milwaukee,46.88,Yearly,802,132
2077,The Jazz Fan Club,loyalty fan player support passion cheer player fun basketball lose team passion fun basketball basketball love game team fun passion,Salt Lake City,42.77,Quarterly,544,216
2078,The Lakers Fan Club,community fan support club loyalty win club player basketball support fan love community fan fun fun team cheer cheer loyalty,Los Angeles,41.09,Yearly,886,391
2079,The Suns Fan Club,love player fun win player community club love lose win support lose club game fan fun club community fun game,Phoenix,25.62,Quarterly,891,367
2080,The Lakers Fan Club,passion team cheer basketball support love player love passion support cheer fan win support fun team cheer win lose win,Los Angeles,24.12,Monthly,746,389
2081,The Spurs Fan Club,club team lose cheer lose passion passion passion loyalty support loyalty community fan game cheer community team support fun fun,San Antonio,12.13,Quarterly,512,394
2082,The Bucks Fan Club,lose cheer cheer fun team fun game cheer support support lose fun club win loyalty cheer fan passion love support,Milwaukee,49.15,Quarterly,797,4
2083,The Clippers Fan Club,team community loyalty team cheer fan passion community fan loyalty win fun support game fan game cheer cheer basketball loyalty,Los Angeles,95.02,Quarterly,646,70
2084,The Rockets Fan Club,cheer win passion love team club player game support fan club basketball basketball player community community game player love game,Houston,97.98,Yearly,695,15
2085,The Knicks Fan Club,fan loyalty fan support love fun fan basketball passion club loyalty passion fan fan community fun fan team fun fun,New York,71.5,Quarterly,305,55
2086,The Mavericks Fan Club,cheer passion player love support community basketball basketball game game club win team basketball player game community love game lose,Dallas,66.06,Quarterly,220,53
2087,The 76ers Fan Club,support loyalty cheer cheer love fun club club win community fan player lose player lose lose support fun passion lose,Philadelphia,57.66,Yearly,578,199
2088,The Warriors Fan Club,win love game fun love passion love player support community fan community cheer fun basketball loyalty club loyalty cheer team,San Francisco,74.18,Quarterly,417,99
2089,The Wizards Fan Club,love fun club community game lose lose win cheer player player love basketball fun win basketball support basketball basketball player,Washington D.C.,10.01,Quarterly,920,147
2090,The Hornets Fan Club,fan fun loyalty player community love passion love loyalty game loyalty team basketball support win fan fun support support player,Charlotte,57.47,Yearly,559,1
2091,The Hornets Fan Club,fan loyalty community basketball player loyalty win lose community support team community game community win community fun lose community club,Charlotte,63.86,Monthly,127,370
2092,The Lakers Fan Club,passion love club fun passion basketball team fun loyalty player love fan passion community basketball basketball player lose player basketball,Los Angeles,52.4,Monthly,980,312
2093,The Warriors Fan Club,loyalty passion loyalty lose club love passion player win loyalty player lose club game team player lose community community game,San Francisco,45.43,Monthly,867,134
2094,The Rockets Fan Club,basketball game team win game passion fan loyalty basketball fan game player fun fun fan fun win passion player community,Houston,15.07,Yearly,236,299
2095,The Hornets Fan Club,club passion team basketball love love game player game team basketball fun lose fun love passion player fun fan fun,Charlotte,21.04,Quarterly,863,144
2096,The Mavericks Fan Club,fun game loyalty player team community support player cheer win passion win fan basketball love basketball cheer win love fan,Dallas,59.81,Quarterly,821,340
2097,The Hornets Fan Club,support fun fan community cheer passion cheer player community fan lose team player community win fan game lose fan basketball,Charlotte,90.09,Yearly,557,202
2098,The Bulls Fan Club,loyalty community basketball win player cheer lose support lose win basketball player lose passion cheer club player basketball win basketball,Chicago,65.51,Monthly,754,20
2099,The Nets Fan Club,win fun team cheer player player game game team win passion support fan loyalty lose passion game team game basketball,Brooklyn,12.75,Quarterly,848,206
2100,The Raptors Fan Club,loyalty team win team community loyalty community love community cheer basketball support support game lose loyalty fun fan love cheer,Toronto,95.7,Quarterly,709,381
2101,The Nuggets Fan Club,game passion community lose win fun support cheer lose passion lose win fan passion love team loyalty lose cheer basketball,Denver,33.99,Monthly,938,230
2102,The 76ers Fan Club,win win player fun love player player club support basketball love club club basketball community passion player club win game,Philadelphia,21.04,Monthly,765,295
2103,The Jazz Fan Club,basketball love love basketball loyalty fan cheer passion team fan basketball team support fan basketball loyalty cheer support fan loyalty,Salt Lake City,68.14,Monthly,686,31
2104,The Suns Fan Club,team love love loyalty fun passion cheer team cheer loyalty win club win passion lose love support support loyalty team,Phoenix,38.67,Quarterly,599,145
2105,The Rockets Fan Club,club team love game support loyalty team loyalty community player player loyalty passion basketball loyalty win fan lose loyalty community,Houston,42.19,Yearly,527,395
2106,The Wizards Fan Club,basketball player fun community fun fan fan love support basketball win lose passion support lose fun club community game club,Washington D.C.,58.77,Yearly,325,110
2107,The Lakers Fan Club,club support team player love fun fan team win loyalty fun game fan game basketball game club lose loyalty team,Los Angeles,17.44,Monthly,225,72
2108,The Hornets Fan Club,basketball cheer love team player fun loyalty game love passion passion fan lose love basketball player lose basketball player win,Charlotte,16.05,Quarterly,485,120
2109,The Lakers Fan Club,basketball passion love game community community game fan love club club win community win win game win support community lose,Los Angeles,64.6,Monthly,639,235
2110,The Knicks Fan Club,loyalty basketball fan community passion loyalty loyalty cheer fun club loyalty love cheer player fun team game cheer club love,New York,14.91,Quarterly,98,221
2111,The 76ers Fan Club,player win fun basketball team club club fun team passion player cheer lose support cheer game lose lose fan cheer,Philadelphia,47.74,Quarterly,57,260
2112,The Spurs Fan Club,passion player basketball team community team cheer lose club club support love love team passion fan team player love fun,San Antonio,20.71,Monthly,710,9
2113,The Warriors Fan Club,lose basketball community lose fun fan player fun fan love community game win loyalty basketball community support support win lose,San Francisco,87.88,Yearly,885,260
2114,The Bucks Fan Club,club love community loyalty game lose fun passion basketball fun game club passion lose passion cheer passion player cheer basketball,Milwaukee,78.39,Quarterly,167,348
2115,The Nuggets Fan Club,cheer support club lose player fan support passion player game love fun lose basketball cheer support support basketball club love,Denver,75.73,Monthly,975,199
2116,The Bucks Fan Club,passion cheer cheer team basketball lose club loyalty fun lose win player basketball support team lose player loyalty love team,Milwaukee,68.23,Yearly,628,226
2117,The Wizards Fan Club,fun player loyalty passion club player loyalty basketball loyalty community fun player player fun cheer game fun loyalty game fan,Washington D.C.,46.96,Monthly,862,224
2118,The Nets Fan Club,loyalty cheer support passion cheer fan basketball game club love basketball game passion fan support team team love support club,Brooklyn,55.59,Monthly,369,171
2119,The Suns Fan Club,community love love player player club player player community cheer fan love win community win support cheer lose passion team,Phoenix,22.73,Monthly,21,235
2120,The Bucks Fan Club,basketball support fan lose love passion loyalty game game support fun team win team basketball loyalty cheer love club community,Milwaukee,25.77,Monthly,24,19
2121,The Raptors Fan Club,game win cheer game passion player love game game loyalty fan love club game fun support love game support community,Toronto,51.37,Quarterly,95,359
2122,The Suns Fan Club,win community community team player fan passion club lose passion community game fun passion fun community loyalty passion basketball game,Phoenix,56.36,Yearly,199,284
2123,The Lakers Fan Club,player win community team win game loyalty player fan support club community support lose win basketball fun player player fun,Los Angeles,95.05,Yearly,689,134
2124,The Heat Fan Club,player basketball win community loyalty love club lose fun passion fan community passion basketball community support club cheer lose club,Miami,66.96,Monthly,904,128
2125,The Jazz Fan Club,loyalty fan loyalty cheer community fan player passion game player team community basketball club team community cheer passion community passion,Salt Lake City,88.38,Yearly,575,173
2126,The Lakers Fan Club,fan community loyalty passion team basketball player cheer team support game fan lose support lose game cheer support fan win,Los Angeles,12.17,Monthly,665,162
2127,The Rockets Fan Club,win passion cheer fun game player club game game win team lose cheer player win community lose win support win,Houston,38.72,Monthly,509,36
2128,The Mavericks Fan Club,cheer cheer love club player community loyalty cheer player fan love club win basketball passion win support cheer player lose,Dallas,30.65,Quarterly,14,90
2129,The Bucks Fan Club,fan lose love basketball love lose win community basketball passion loyalty fun basketball fun game team community support community loyalty,Milwaukee,77.42,Yearly,964,157
2130,The Spurs Fan Club,cheer team player fan love player team lose basketball team community game club game community support club passion win win,San Antonio,62.44,Yearly,210,325
2131,The Hornets Fan Club,player fan game game community support game fun passion cheer passion love cheer win support team game club love fun,Charlotte,12.89,Quarterly,804,394
2132,The Warriors Fan Club,club game player passion game loyalty club win game club win cheer support game player passion game game club cheer,San Francisco,33.75,Yearly,720,310
2133,The Raptors Fan Club,support fun player team basketball game lose fun passion community loyalty lose win team basketball loyalty lose community community passion,Toronto,79.95,Yearly,538,60
2134,The Nets Fan Club,community fun win basketball lose passion passion game loyalty basketball community loyalty fun cheer passion support fun basketball love lose,Brooklyn,33.49,Monthly,421,322
2135,The Rockets Fan Club,club passion game fun cheer community win game fan support club loyalty basketball passion player community passion game support basketball,Houston,64.72,Monthly,759,348
2136,The Warriors Fan Club,fan community game lose player community player club love win cheer team basketball club win game passion community support support,San Francisco,26.19,Quarterly,53,23
2137,The Hornets Fan Club,win game win fan basketball cheer cheer community fan loyalty passion win basketball game loyalty team team team team game,Charlotte,29.82,Monthly,289,368
2138,The Suns Fan Club,fun passion win fun fun love fun passion lose player basketball basketball love support fan player passion love win lose,Phoenix,61.9,Yearly,993,128
2139,The Suns Fan Club,win fan loyalty game support team community win loyalty loyalty basketball community club loyalty team fan player game loyalty club,Phoenix,61.32,Monthly,672,96
2140,The Wizards Fan Club,team club fun basketball support cheer club support fun game club love fan lose love lose game player fun lose,Washington D.C.,10.75,Monthly,404,84
2141,The Nuggets Fan Club,team game lose fun support win player support basketball fun club fan club love cheer fan team game loyalty support,Denver,28.18,Quarterly,677,284
2142,The Bulls Fan Club,loyalty player team basketball basketball team lose team support loyalty game loyalty fun loyalty lose love club fun loyalty passion,Chicago,80.52,Monthly,320,318
2143,The Hornets Fan Club,lose lose fan game support cheer community fun game cheer win fun player club lose player community fun love loyalty,Charlotte,24.93,Quarterly,150,135
2144,The Warriors Fan Club,fan passion team player lose love fan passion fan game fan love community basketball game loyalty lose loyalty cheer team,San Francisco,43.46,Quarterly,317,27
2145,The Warriors Fan Club,fan team club support lose passion community win lose fan support game win fan fun love player loyalty passion game,San Francisco,29.46,Monthly,72,211
2146,The 76ers Fan Club,loyalty fan fun basketball cheer basketball cheer love fan support club cheer fun player support lose basketball basketball love fun,Philadelphia,17.37,Yearly,651,306
2147,The Warriors Fan Club,support win love lose player loyalty community game basketball team cheer loyalty win game basketball fan loyalty fan basketball player,San Francisco,12.54,Monthly,616,233
2148,The Bucks Fan Club,club passion loyalty game basketball win passion fan game team community loyalty support basketball basketball support community basketball fun win,Milwaukee,10.76,Quarterly,752,353
2149,The Nets Fan Club,player basketball lose club community team loyalty basketball player cheer love win support fun passion passion loyalty community community game,Brooklyn,16.39,Quarterly,593,322
2150,The Raptors Fan Club,lose support lose passion team cheer fan team fun community fan passion loyalty club passion player passion support player fan,Toronto,77.85,Quarterly,655,85
2151,The Bulls Fan Club,club love game fan community team love loyalty passion fan basketball win loyalty basketball community fun fun support basketball fan,Chicago,49.04,Monthly,400,132
2152,The Raptors Fan Club,community fun win support basketball lose love support support basketball love loyalty cheer win basketball club lose cheer community lose,Toronto,35.47,Yearly,685,259
2153,The Suns Fan Club,love club community player basketball cheer fan fun team fun team fan game fan fun loyalty community community passion club,Phoenix,69.63,Monthly,181,136
2154,The Mavericks Fan Club,lose basketball cheer cheer player cheer basketball support team lose support loyalty cheer lose lose cheer team love game love,Dallas,38.27,Yearly,234,26
2155,The Heat Fan Club,fan game fan fan fun game team lose fun lose fan community love team loyalty club fun passion win lose,Miami,41.95,Yearly,603,372
2156,The Spurs Fan Club,fan support passion player basketball basketball basketball lose love support fan player fun lose community cheer cheer basketball fun fun,San Antonio,27.2,Monthly,675,200
2157,The Clippers Fan Club,club love basketball club loyalty win loyalty love club player support support club fan community fan fan team basketball fun,Los Angeles,96.86,Quarterly,517,23
2158,The Knicks Fan Club,team lose love support game passion win club win team passion fan love loyalty player basketball loyalty community cheer loyalty,New York,65.26,Yearly,919,190
2159,The Mavericks Fan Club,community player fan club love club community team basketball love cheer cheer player cheer fun game team team game team,Dallas,77.0,Yearly,906,303
2160,The Celtics Fan Club,player loyalty basketball lose team cheer fan club cheer basketball fan passion community team game player basketball support community love,Boston,57.56,Quarterly,477,136
2161,The Rockets Fan Club,love community love loyalty basketball player fan club support fun loyalty loyalty club cheer passion passion game passion team fun,Houston,55.88,Quarterly,774,203
2162,The Jazz Fan Club,loyalty player win love support cheer community passion player lose loyalty cheer fan loyalty support club team cheer basketball cheer,Salt Lake City,67.45,Yearly,527,53
2163,The Heat Fan Club,game passion support fan player cheer fan passion loyalty lose fun basketball win basketball support support basketball passion team lose,Miami,39.88,Monthly,77,297
2164,The Warriors Fan Club,loyalty fun cheer club fan lose team game team team lose loyalty lose game win love club love community fan,San Francisco,14.59,Monthly,70,68
2165,The Nuggets Fan Club,player win team loyalty passion player win basketball club club fun player passion club loyalty community love fun game win,Denver,83.14,Yearly,368,246
2166,The Wizards Fan Club,loyalty fan loyalty love player passion team loyalty passion support community team support support player cheer fun lose cheer team,Washington D.C.,10.09,Yearly,965,90
2167,The Rockets Fan Club,love game lose game club lose team lose support fan loyalty love love fan club cheer passion game fun fun,Houston,90.27,Yearly,310,44
2168,The Spurs Fan Club,club community game cheer club fan game loyalty team community love club fun player passion win club fun game game,San Antonio,70.1,Monthly,900,234
2169,The Knicks Fan Club,club basketball team basketball fun lose win game club win cheer basketball game club love fun team community loyalty team,New York,78.44,Yearly,482,177
2170,The Celtics Fan Club,fun club basketball club cheer basketball win team fun love win game support cheer love community lose basketball community basketball,Boston,79.39,Yearly,364,146
2171,The Suns Fan Club,club team love player lose lose basketball lose cheer fan lose game community player love player player fun club win,Phoenix,92.26,Yearly,157,333
2172,The Knicks Fan Club,club support basketball basketball passion basketball loyalty passion loyalty love player passion loyalty basketball player team win support cheer loyalty,New York,57.58,Yearly,228,19
2173,The Bulls Fan Club,basketball passion passion game lose love player loyalty team player passion community loyalty fan basketball team player community game win,Chicago,45.02,Quarterly,539,203
2174,The Celtics Fan Club,player community fun win game win fan support love game player cheer lose game passion passion love lose passion win,Boston,88.14,Quarterly,383,239
2175,The Hawks Fan Club,support support support fan basketball fun fun player fan passion player win game community passion cheer community support fun player,Atlanta,19.5,Quarterly,394,219
2176,The Spurs Fan Club,basketball love support passion win game game cheer loyalty support player support support win support player cheer fan team club,San Antonio,85.43,Quarterly,266,130
2177,The Knicks Fan Club,club fan player loyalty game lose loyalty passion win basketball club passion player club community basketball club loyalty passion loyalty,New York,71.55,Quarterly,902,137
2178,The Nets Fan Club,passion team fan club love community support support fun cheer loyalty win community game community cheer fan player support loyalty,Brooklyn,61.61,Quarterly,930,81
2179,The Wizards Fan Club,lose support team club community loyalty fun basketball basketball player support fan basketball lose game love fan fun lose love,Washington D.C.,25.86,Yearly,983,9
2180,The Rockets Fan Club,fan loyalty lose loyalty game lose player community club support win cheer game fan fan loyalty fun fan cheer team,Houston,90.8,Yearly,959,279
2181,The Knicks Fan Club,basketball club love community win team team love team loyalty club fun team loyalty support fun team love love club,New York,48.53,Quarterly,457,83
2182,The Heat Fan Club,basketball love fun passion community cheer support fan lose love game cheer fan win fun win team basketball love club,Miami,32.41,Quarterly,789,307
2183,The 76ers Fan Club,lose basketball support game club cheer win support fan basketball club cheer fan lose passion basketball support love passion game,Philadelphia,96.16,Monthly,576,219
2184,The Nuggets Fan Club,basketball cheer loyalty community support club community loyalty win player win loyalty club loyalty love support player love passion fun,Denver,48.02,Yearly,836,208
2185,The Raptors Fan Club,support community game lose club support win support fun lose game loyalty support cheer passion club basketball team community game,Toronto,46.14,Quarterly,934,331
2186,The Suns Fan Club,win fan club game cheer lose support win passion team fan player love team passion passion passion lose lose fun,Phoenix,57.81,Monthly,443,396
2187,The Warriors Fan Club,passion game cheer support support game game game fun club fan cheer fan support win win support loyalty passion fan,San Francisco,18.96,Yearly,273,87
2188,The 76ers Fan Club,cheer cheer player basketball game passion love basketball support cheer club community community player fan support loyalty win basketball game,Philadelphia,32.77,Quarterly,375,368
2189,The Knicks Fan Club,love game fun cheer win loyalty support passion support game cheer team lose team cheer cheer support basketball lose fun,New York,17.76,Monthly,761,339
2190,The Bulls Fan Club,passion community fun passion club game community player player lose club win lose cheer passion cheer player support support love,Chicago,17.32,Monthly,339,266
2191,The Hawks Fan Club,cheer player fun community cheer team cheer support support club passion community community team lose lose loyalty community passion lose,Atlanta,39.74,Yearly,403,274
2192,The Spurs Fan Club,loyalty basketball passion club player game community club love basketball fun win love community love love player win fan team,San Antonio,77.9,Quarterly,860,159
2193,The Heat Fan Club,cheer fan team support fan community community game fan passion loyalty fun game lose basketball cheer community game win basketball,Miami,87.5,Monthly,194,359
2194,The Spurs Fan Club,passion fan loyalty fan passion lose love basketball passion club love love community team player club fan win passion love,San Antonio,78.56,Quarterly,473,313
2195,The Hornets Fan Club,game player win love community support cheer loyalty basketball team player team passion player community support fan love fan win,Charlotte,18.01,Monthly,150,272
2196,The Jazz Fan Club,community passion cheer game community team game fun cheer loyalty support cheer passion cheer cheer player love passion cheer game,Salt Lake City,22.25,Monthly,532,314
2197,The Bulls Fan Club,lose support game player player fan club club loyalty basketball loyalty basketball loyalty community basketball win game cheer support basketball,Chicago,18.43,Quarterly,54,108
2198,The Nets Fan Club,win fun club fan passion team win loyalty lose support cheer lose lose fun player club loyalty player win basketball,Brooklyn,50.82,Monthly,990,16
2199,The Warriors Fan Club,club win passion community fan lose basketball player fan community win lose win basketball team fun love lose community fun,San Francisco,80.15,Quarterly,503,119
2200,The Knicks Fan Club,fun love player basketball game passion lose cheer passion loyalty club fun game basketball team club fan win club lose,New York,88.44,Quarterly,230,123
2201,The Hawks Fan Club,player loyalty love fun player player club win club win loyalty lose basketball support game win fun player love support,Atlanta,71.32,Monthly,225,290
2202,The Celtics Fan Club,club player game love club community fun win community cheer lose passion love loyalty lose win loyalty win win club,Boston,83.0,Yearly,837,201
2203,The Celtics Fan Club,team passion cheer game loyalty cheer cheer player win win passion player support fan fan club team community love basketball,Boston,79.22,Quarterly,144,323
2204,The Wizards Fan Club,club community fun team fan cheer cheer passion basketball basketball game game team cheer passion lose lose community support lose,Washington D.C.,41.77,Monthly,652,238
2205,The Suns Fan Club,basketball loyalty love win cheer team win basketball win game fan cheer love cheer fan basketball player club team love,Phoenix,84.51,Quarterly,937,97
2206,The 76ers Fan Club,fun game support basketball team fun fan game cheer team club support game team passion win fun fan cheer loyalty,Philadelphia,53.7,Yearly,848,290
2207,The Heat Fan Club,love support basketball support game team support basketball club support club player loyalty fun loyalty loyalty win team club loyalty,Miami,56.41,Yearly,252,196
2208,The Heat Fan Club,team team basketball game lose club support fun game passion support loyalty team fun player cheer basketball community club basketball,Miami,20.83,Quarterly,353,78
2209,The Mavericks Fan Club,community loyalty lose loyalty win passion loyalty lose passion passion team community fun fun fun team basketball cheer love lose,Dallas,98.85,Quarterly,358,360
2210,The 76ers Fan Club,love club player love fun passion passion win club fun player cheer lose fun loyalty fun cheer win team loyalty,Philadelphia,77.6,Quarterly,620,392
2211,The Hornets Fan Club,community fun lose win player player community fan love player fan game club fun club game loyalty love community basketball,Charlotte,47.86,Yearly,75,52
2212,The Bulls Fan Club,community team game club club fan win community lose community lose fun love cheer loyalty club passion loyalty win loyalty,Chicago,70.23,Monthly,355,63
2213,The Nets Fan Club,cheer community passion fun team team lose fun lose lose win support club support cheer player passion team loyalty love,Brooklyn,44.04,Monthly,166,82
2214,The Wizards Fan Club,community fun win club fun game fun love win loyalty basketball loyalty club community fun support player support basketball win,Washington D.C.,88.74,Quarterly,19,179
2215,The Jazz Fan Club,win basketball loyalty love basketball cheer fun basketball club loyalty win club game fan passion fun passion win cheer lose,Salt Lake City,78.51,Quarterly,426,353
2216,The Spurs Fan Club,basketball support support loyalty team club love team basketball support game fun fan support lose win fun fun fun game,San Antonio,45.72,Monthly,62,21
2217,The Clippers Fan Club,passion team cheer fan player team win basketball love community club community club team basketball club love fun passion basketball,Los Angeles,47.31,Quarterly,782,14
2218,The Hornets Fan Club,fun win fun fan loyalty loyalty love club love community lose club passion basketball club love player club basketball community,Charlotte,94.57,Monthly,605,44
2219,The Warriors Fan Club,fun basketball team lose fan game fun passion game love win community fan loyalty community win game club passion fan,San Francisco,34.35,Quarterly,380,127
2220,The Jazz Fan Club,community community love support support support love club win loyalty club passion support passion fun fan cheer love loyalty team,Salt Lake City,93.65,Monthly,272,327
2221,The Lakers Fan Club,club game loyalty community win passion basketball basketball passion game basketball team club community fun basketball basketball love fun club,Los Angeles,42.12,Quarterly,940,358
2222,The Hawks Fan Club,fan loyalty player win lose community love fun support lose game player fan lose fan fan win lose fun win,Atlanta,17.48,Quarterly,15,172
2223,The Nuggets Fan Club,loyalty love lose club support club lose cheer support game fan fan fan passion game player lose game player club,Denver,60.22,Yearly,1000,231
2224,The Clippers Fan Club,passion fun love basketball game passion support support club team cheer player community team team club fan fan community game,Los Angeles,65.67,Monthly,14,61
2225,The Lakers Fan Club,fun win team cheer cheer lose love team club support passion lose lose lose loyalty lose lose support fun team,Los Angeles,75.24,Yearly,77,398
2226,The Jazz Fan Club,love love game fan support support support lose community team community support fan love love team game lose basketball passion,Salt Lake City,71.19,Monthly,27,130
2227,The Rockets Fan Club,community win club passion passion cheer community community support passion basketball community love cheer win fan win game fun cheer,Houston,81.87,Monthly,439,251
2228,The Clippers Fan Club,team club cheer loyalty basketball fun fun loyalty passion player love team cheer lose passion fun team support community club,Los Angeles,66.45,Yearly,27,218
2229,The Rockets Fan Club,lose love club basketball loyalty love fun support player team loyalty player loyalty team player team win loyalty loyalty cheer,Houston,54.22,Monthly,989,277
2230,The Celtics Fan Club,game win player community fun fan team basketball support loyalty love cheer community loyalty love basketball game fan lose support,Boston,35.12,Quarterly,769,30
2231,The Bucks Fan Club,player lose love basketball community club fan cheer game player loyalty cheer fun community club win cheer loyalty community player,Milwaukee,37.53,Monthly,869,123
2232,The Knicks Fan Club,lose support club lose fun cheer passion community team passion lose loyalty fun player basketball loyalty win support fan lose,New York,66.07,Yearly,680,179
2233,The Lakers Fan Club,lose team community player game support loyalty player fan passion game fan team basketball game fun lose fan lose basketball,Los Angeles,54.49,Quarterly,703,84
2234,The Heat Fan Club,club love team support lose cheer team fun basketball win team community club support passion support community player win club,Miami,65.86,Yearly,941,137
2235,The Lakers Fan Club,community win club lose game support player loyalty game club passion basketball loyalty passion basketball player love game cheer passion,Los Angeles,81.98,Monthly,567,331
2236,The Nuggets Fan Club,passion club fan cheer win cheer lose club community community win cheer community lose player game basketball win win community,Denver,80.89,Monthly,963,41
2237,The Nets Fan Club,basketball player lose support cheer win fun cheer cheer game team fan cheer support love fun passion love lose love,Brooklyn,83.5,Quarterly,785,369
2238,The Clippers Fan Club,loyalty team team team support love fan game support loyalty lose team fan game club loyalty support support game cheer,Los Angeles,43.16,Yearly,150,332
2239,The Nuggets Fan Club,club fan club cheer game support cheer support community support passion passion support basketball club community passion basketball win cheer,Denver,35.39,Quarterly,211,383
2240,The 76ers Fan Club,fan win love love fan win passion cheer lose win game game love lose loyalty lose passion player loyalty win,Philadelphia,68.53,Monthly,310,309
2241,The Heat Fan Club,love team cheer basketball game club loyalty cheer win love fun player cheer game team win community win love cheer,Miami,19.0,Yearly,294,88
2242,The Spurs Fan Club,club community loyalty fan win support support team passion win club club lose cheer fun game basketball loyalty community cheer,San Antonio,50.53,Quarterly,593,348
2243,The Heat Fan Club,basketball community loyalty support game fun player lose fun win loyalty love fun cheer basketball club player game basketball fun,Miami,75.26,Yearly,688,79
2244,The Bucks Fan Club,game support love support game community fan player basketball fan club community basketball win lose game love cheer team support,Milwaukee,10.77,Quarterly,8,301
2245,The Bulls Fan Club,win fan fan fan love club community win community win lose game passion loyalty game team support team fun love,Chicago,58.38,Yearly,724,162
